frame,fps,timecode,physical_simulation_time_s,camera,phase,voiceover_cue,foley_cue,timing_distinction
1,30,00:00:00:00,0.0,Exhibit_camera / editorial plate push,The complete assembly,"This study explores the Formula One hybrid architecture used from twenty fourteen through twenty twenty five. A small V six engine works alongside two motor generators and an energy store. The detailed exterior depicts the twenty twenty three Red Bull car, modeled by Redgrund. The internal assembly is educational.",none,"ledger seconds; disassembly timing editorial, independent of ledger"
2,30,00:00:00:01,0.03333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
3,30,00:00:00:02,0.06666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
4,30,00:00:00:03,0.1,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
5,30,00:00:00:04,0.13333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
6,30,00:00:00:05,0.16666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
7,30,00:00:00:06,0.2,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
8,30,00:00:00:07,0.23333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
9,30,00:00:00:08,0.26666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
10,30,00:00:00:09,0.3,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
11,30,00:00:00:10,0.3333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
12,30,00:00:00:11,0.36666666666666664,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
13,30,00:00:00:12,0.4,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
14,30,00:00:00:13,0.43333333333333335,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
15,30,00:00:00:14,0.4666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
16,30,00:00:00:15,0.5,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
17,30,00:00:00:16,0.5333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
18,30,00:00:00:17,0.5666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
19,30,00:00:00:18,0.6,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
20,30,00:00:00:19,0.6333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
21,30,00:00:00:20,0.6666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
22,30,00:00:00:21,0.7,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
23,30,00:00:00:22,0.7333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
24,30,00:00:00:23,0.7666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
25,30,00:00:00:24,0.8,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
26,30,00:00:00:25,0.8333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
27,30,00:00:00:26,0.8666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
28,30,00:00:00:27,0.9,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
29,30,00:00:00:28,0.9333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
30,30,00:00:00:29,0.9666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
31,30,00:00:01:00,1.0,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
32,30,00:00:01:01,1.0333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
33,30,00:00:01:02,1.0666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
34,30,00:00:01:03,1.1,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
35,30,00:00:01:04,1.1333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
36,30,00:00:01:05,1.1666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
37,30,00:00:01:06,1.2,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
38,30,00:00:01:07,1.2333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
39,30,00:00:01:08,1.2666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
40,30,00:00:01:09,1.3,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
41,30,00:00:01:10,1.3333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
42,30,00:00:01:11,1.3666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
43,30,00:00:01:12,1.4,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
44,30,00:00:01:13,1.4333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
45,30,00:00:01:14,1.4666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
46,30,00:00:01:15,1.5,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
47,30,00:00:01:16,1.5333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
48,30,00:00:01:17,1.5666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
49,30,00:00:01:18,1.6,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
50,30,00:00:01:19,1.6333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
51,30,00:00:01:20,1.6666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
52,30,00:00:01:21,1.7,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
53,30,00:00:01:22,1.7333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
54,30,00:00:01:23,1.7666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
55,30,00:00:01:24,1.8,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
56,30,00:00:01:25,1.8333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
57,30,00:00:01:26,1.8666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
58,30,00:00:01:27,1.9,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
59,30,00:00:01:28,1.9333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
60,30,00:00:01:29,1.9666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
61,30,00:00:02:00,2.0,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
62,30,00:00:02:01,2.033333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
63,30,00:00:02:02,2.066666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
64,30,00:00:02:03,2.1,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
65,30,00:00:02:04,2.1333333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
66,30,00:00:02:05,2.1666666666666665,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
67,30,00:00:02:06,2.2,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
68,30,00:00:02:07,2.2333333333333334,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
69,30,00:00:02:08,2.2666666666666666,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
70,30,00:00:02:09,2.3,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
71,30,00:00:02:10,2.3333333333333335,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
72,30,00:00:02:11,2.3666666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
73,30,00:00:02:12,2.4,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
74,30,00:00:02:13,2.433333333333333,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
75,30,00:00:02:14,2.466666666666667,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
76,30,00:00:02:15,2.5,Exhibit_camera / editorial plate push,The complete assembly,,none,"ledger seconds; disassembly timing editorial, independent of ledger"
